402, 117, 0.03272414207458496
401, 122, 0.06826114654541016
401, 126, 0.09942126274108887
401, 132, 0.13364505767822266
401, 142, 0.16655778884887695
401, 147, 0.20813608169555664
401, 153, 0.2343900203704834
401, 160, 0.2662334442138672
401, 172, 0.3001749515533447
401, 179, 0.3320634365081787
400, 194, 0.36799120903015137
400, 202, 0.4005420207977295
400, 210, 0.4331929683685303
400, 229, 0.4665565490722656
400, 239, 0.5012505054473877
400, 249, 0.53326416015625
399, 273, 0.567305326461792
399, 285, 0.6000175476074219
399, 299, 0.6333968639373779
399, 328, 0.6670520305633545
398, 345, 0.7008223533630371
398, 363, 0.734490156173706
398, 404, 0.7660937309265137
397, 416, 0.7997369766235352
