405,117,0.03194904327392578,
406,122,0.06653451919555664,
407,126,0.09819436073303223,
407,132,0.13222384452819824,
408,142,0.16504144668579102,
409,147,0.1979200839996338,
409,153,0.23377227783203125,
411,165,0.2649829387664795,
411,172,0.29761290550231934,
411,172,0.31583356857299805,
413,186,0.3492422103881836,
414,194,0.38121819496154785,
415,210,0.41416001319885254,
416,219,0.449495792388916,
417,228,0.481827974319458,
419,249,0.5138554573059082,
420,260,0.5469300746917725,
421,272,0.581169843673706,
424,298,0.6149559020996094,
425,312,0.6468489170074463,
427,327,0.683779239654541,
430,362,0.715998649597168,
432,381,0.7501218318939209,
435,402,0.7811152935028076,
438,448,0.816554069519043,
440,473,0.8503799438476562,
442,484,0.8832464218139648,
