18 10 2 
0.1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
-0.32187 -0.915624 -0.116394 -0.0350795 0.458657 1.75 0.379165 -1.17117 0.873251 -0.784765 2.22832 0.44524 1.50162 -0.00763729 0.716176 1.54841 0.639906 1.40018 -0.865075 
1.1989 0.198442 0.677134 -0.608812 -0.257347 -0.0580774 1.32482 -0.771919 0.943618 0.435805 0.269698 0.033051 -0.0292373 0.514555 0.378652 0.289094 -0.195158 0.932882 -0.00939743 
-0.564757 0.706519 -0.244433 0.830635 -1.33824 -0.615784 -0.75362 0.535227 -0.0122772 1.24066 0.406011 0.00733727 -0.726952 1.02772 0.213426 -0.717925 0.680926 -0.0367858 -0.28213 
0.150989 -0.118231 -1.0276 -0.625098 -0.7758 -1.40881 -0.12293 0.538813 0.687506 -0.219415 -0.578088 0.034682 0.839437 -0.307552 -0.41753 0.841883 -0.791922 0.0327039 0.405333 
-1.36614 0.192326 1.35279 0.568565 0.333461 0.596442 -0.328815 0.665976 1.455 1.1353 -0.29406 -0.327834 -0.0160232 1.40723 -0.606699 -0.353752 -0.0197596 -0.632218 -0.882371 
0.0544479 -0.818897 -0.304009 -0.232489 0.717753 0.17574 -0.743126 -0.452224 0.0427462 0.577432 0.14776 -0.168193 -0.520916 0.558133 0.271311 -0.475307 -0.0190551 0.282002 -0.14235 
0.194726 0.710044 1.67137 -0.100424 1.55098 0.986586 0.885845 1.07091 0.26077 -0.173389 -0.0307951 -0.694675 -0.172297 0.462587 0.218695 -0.736174 -0.408742 0.527593 0.420268 
-1.53711 0.491279 0.111208 -0.0308059 0.679732 0.965616 -0.460987 -0.205909 2.25757 0.608808 -1.39027 0.0903957 1.10841 -0.246559 1.07818 0.898044 -0.731824 0.623017 0.277762 
1.64509 0.351863 -0.599138 -0.873473 0.675654 0.747642 -0.639923 -0.878114 0.977979 -0.753566 0.576852 -0.377275 -0.893413 0.292898 0.543057 0.955697 -0.0460724 0.0678043 0.530702 
-0.0717734 0.342546 -0.437832 -0.25891 -0.503174 0.238865 0.841296 1.37527 -0.954813 -0.534272 -0.221959 -1.76005 -0.484797 0.486975 0.667413 -0.115656 -0.965426 0.621008 -0.123011 
0 0 0 0 0 0 0 0 0 0 0 
0.701683 -0.3104 1.41099 -0.584309 -0.764571 0.652357 -1.49866 -0.361761 -0.220963 -0.438902 0.455967 
0.175302 -2.02516 0.396887 1.43479 -1.81674 -1.65301 -0.707967 -0.870057 2.49808 0.356798 2.18709 
