18,10,2,
0.01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.07957,1.0722,0.550162,-0.329153,-0.7416,0.207523,0.365923,-0.0839042,0.499741,0.07265,0.600214,-1.11577,0.720725,0.415854,-0.927291,-0.976046,-0.248368,-0.310375,0.927464,
1.69695,0.563141,-0.247053,0.706512,1.04599,0.065204,0.462665,-0.00312093,-0.450694,-0.179411,-0.00476557,-0.320727,0.624255,-0.125146,-0.0567686,0.974545,-0.197945,0.256835,0.215048,
1.92796,-0.786423,-0.869104,-0.109784,0.170426,0.491166,0.753248,-0.788942,1.33433,-0.767659,0.137933,-0.269999,-1.91227,-0.465861,0.389087,-0.595886,-0.509599,-0.41354,0.620277,
1.12928,0.753346,-0.107036,-0.0623557,-0.386089,0.415787,1.12697,0.137481,-1.05668,-0.382163,-0.105819,-1.03468,0.672934,-0.604443,-1.22187,0.899395,-0.0698452,-0.254852,-0.502028,
-0.668159,0.95517,0.117788,0.427883,0.940099,-0.274209,-0.601487,-0.23563,-0.535545,-0.802684,-2.04709,-1.20086,-0.146678,-0.349843,0.91794,0.367561,-0.9464,-0.297513,-1.13707,
-0.1251,-0.182572,-0.77472,-0.897114,-0.0571158,0.324529,-0.834153,-0.226463,-1.01381,0.952445,-0.559827,-1.77886,-0.39249,0.542766,-0.101721,0.964718,1.36165,-0.25079,0.15074,
-0.153709,0.564863,0.472662,-0.123137,-0.65011,-1.13185,-0.707684,0.037746,0.00131948,1.01937,-0.875504,-0.444275,0.573674,0.924322,-0.330325,-0.779233,0.0370192,-0.0555403,1.21453,
1.29598,-0.391016,0.292573,0.519673,-1.34577,-1.53375,-0.652433,-0.326182,0.629187,0.292924,0.202198,0.186785,0.164316,-0.219775,0.0422893,0.440335,1.02184,-0.0513826,-0.77121,
-0.269756,0.412167,-0.434303,0.246413,-0.472556,-0.767374,-0.21651,0.417897,-0.406037,-0.380959,0.207234,-0.179438,0.232735,-0.401433,-0.0847352,0.319914,-0.297226,0.108132,0.566908,
-1.10496,-0.560219,-0.408047,-1.06491,0.619934,0.0513741,0.927753,1.18144,-0.743414,0.586285,-1.38045,-0.568376,0.024656,0.228001,0.011629,1.32007,1.18244,0.0528424,1.15302,
0,0,0,0,0,0,0,0,0,0,0,
0.656577,0.551902,0.700153,-0.167315,-0.102064,-0.122378,-0.0464243,-0.801327,-0.589207,-1.25496,0.248502,
-0.608643,-0.350879,-1.34098,2.41691,1.31714,-2.23071,1.19184,1.04667,-2.12048,-0.726825,1.75696,
